Entity,Code,Year,Other renewables - %,Biofuels - %,Solar - %,Wind - %,Hydro - %,Nuclear - %,Gas - %,Coal - %,Oil - %,Other renewables - TWh,Biofuels - TWh,Solar - TWh,Wind - TWh,Hydro - TWh,Nuclear - TWh,Gas - TWh,Coal - TWh,Oil - TWh
World,OWID_WRL,2013,0.9697406842308048,0.5497526001677758,0.25304299663684765,1.1601231358140056,6.914695571199665,4.362251155083123,22.58603816341643,29.94606696249676,33.25828873095459,1447.8152,820.7763,377.7912,1732.0547,10323.586,6512.8066,33720.777,44709.242,49654.363
World,OWID_WRL,2014,1.0402226750448111,0.5744180785486496,0.35422315763711426,1.2673599976303531,6.981947436225104,4.377999724852262,22.507437662127423,29.752050846403126,33.14434042153114,1569.6025,866.74524,534.4909,1912.3323,10535.131,6606.008,33961.7,44893.17,50011.83
World,OWID_WRL,2015,1.1158708378513806,0.5923112083414936,0.4534618189561422,1.472505199178318,6.870345848823711,4.377337149818979,22.85789319322572,28.730465432408824,33.529809311395425,1696.5197,900.52325,689.4229,2238.7305,10445.364,6655.106,34752.11,43680.504,50977.21
World,OWID_WRL,2016,1.1200853512245996,0.6129189528373974,0.5723184574388963,1.676786430716356,6.99814253360148,4.370974644351821,22.93461900195133,27.822078065242387,33.89207656263573,1720.5377,941.4909,879.1254,2575.6736,10749.688,6714.155,35229.348,42736.863,52060.85
World,OWID_WRL,2017,1.155759650720026,0.6104878952804039,0.7536295796293926,1.9325504539228888,6.884865199147198,4.282474404544643,23.22231657482075,27.467545679103885,33.690370562830815,1817.4558,960.00476,1185.098,3038.9753,10826.592,6734.279,36517.57,43193.28,52978.8
World,OWID_WRL,2018,1.2164184110236738,0.643855910130819,0.941387269470388,2.081080445524817,6.8604440664825,4.244350146217302,23.72573608726968,27.150332756502173,33.13639490737864,1964.74,1039.946,1520.514,3361.3286,11080.882,6855.408,38321.438,43852.793,53521.387
World,OWID_WRL,2019,1.2633092212756625,0.6854307876929853,1.1384361502359956,2.293717158056598,6.847254775796592,4.329310955858579,23.927315315267684,26.689975420135386,32.825250215680505,2063.5725,1119.6278,1859.5966,3746.7087,11184.757,7071.7817,39084.453,43597.164,53618.926
World,OWID_WRL,2020,1.383717127408852,0.6788152790731063,1.4240506835907967,2.6562893764206863,7.2615198068448805,4.298194666841385,24.554226472219653,26.826469586652035,30.9167170009486,2181.6753,1070.2726,2245.2683,4188.111,11449.073,6776.8657,38714.09,42296.684,48745.684
World,OWID_WRL,2021,1.4186977458133194,0.682454188105782,1.6603931217986,2.936078867066748,6.771574093533382,4.246129985926528,24.28000466696755,26.911447102660908,31.093220228127194,2351.194,1131.0247,2751.7534,4865.935,11222.464,7037.07,40239.016,44600.08,51530.492
World,OWID_WRL,2022,1.4310529990901846,0.7072722177011056,2.0428216172480314,3.2575439884037736,6.681243864002171,3.9736504538441926,23.761071439729538,26.595696615358452,31.54964680462255,2414.3037,1193.2262,3446.4075,5495.7437,11271.806,6703.874,40086.875,44869.12,53226.84
World,OWID_WRL,2023,1.4105707744002043,0.7655308614173139,2.477506413160665,3.509407177537384,6.399126484706706,3.9648001793381757,23.298836077083827,26.472912021617994,31.70131001073774,2427.8613,1317.6246,4264.261,6040.359,11014.117,6824.1772,40101.74,45564.93,54564
